sample_index,mcm3,ifitm2,ifitm1,cd9,ptma,zwint,snrpn,slc25a53,snap47,tecr
52525_GSM1268909_SRR1033320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52525_GSM1268915_SRR1033326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52525_GSM1268918_SRR1033329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52525_GSM1268921_SRR1033332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52525_GSM1268930_SRR1033341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52525_GSM1268932_SRR1033343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52525_GSM1268933_SRR1033344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52564_GSM1269905_SRR1033785,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52564_GSM1269906_SRR1033786,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552873_SRR1660572,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552874_SRR1660573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552875_SRR1660574,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552876_SRR1660575,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552877_SRR1660576,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552878_SRR1660577,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552879_SRR1660578,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552880_SRR1660579,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552881_SRR1660580,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552882_SRR1660581,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552883_SRR1660582,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552884_SRR1660583,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552885_SRR1660584,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552886_SRR1660585,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552887_SRR1660586,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552888_SRR1660587,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552889_SRR1660588,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552890_SRR1660589,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552891_SRR1660590,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552892_SRR1660591,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552893_SRR1660592,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552894_SRR1660593,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552895_SRR1660594,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552896_SRR1660595,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63576_GSM1552897_SRR1660596,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
63576_GSM1552898_SRR1660597,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
